VILLE;DEPARTEMENT;CODE INSEE;NOM DU SITE;GROUPE DE DECHETS;SOUS-GROUPE DE DECHETS;DESCRIPTION PHYSIQUE;CATEGORIE;FAMILLE IN;VOLUME EQUIVALENT CONDITIONNE;MAJORATION;ACTIVITE ( Bq);PRINCIPAUX RADIONUCLEIDES
PARIS 05;75;75105;COLLEGE DE FRANCE - CNRS 7241-INSERM U1050;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,75;;-;32P,35S,125I
MARCY-L'ETOILE;69;69127;CAMPUS VETERINAIRE DE LYON - VETAGRO-SUP;;;DGD - Déchets gérés en décroissance;VTC;DGD;2,8;;-;125I
NANTES;44;44109;ONIRIS - LABONIRIS;;;DGD - Déchets gérés en décroissance;VTC;DGD;7;;-;125I
LYON;69;69123;ECOLE NORMALE SUPERIEURE DE LYON - SERVICE PREVENTION ET SANTE AU TRAVAIL;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,39;;-;32P,35S
PALAISEAU;91;91477;ECOLE POLYTECHNIQUE - LABORATOIRE DE BIOLOGIE STRUCTURALE DE LA CELLULE - UMR 7654;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,54;;-;32P,33P,35S
MORET-LOING-ET-ORVANNE;77;77316;EDF - RECHERCHE & DEVELOPPEMENT - RENARDIERES - DEPT MATERIAUX ET MECANIQUE DES COMPOSANTS (MMC);;;DGD - Déchets gérés en décroissance;VTC;DGD;0,2;;-;58Co,56Co
STRASBOURG;67;67482;ETABLISSEMENT FRANCAIS DU SANG - INSERM UMR S1255;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,088;;-;33P,35S,125I
RENNES;35;35238;UNIVERSITE DE RENNES I - INSERM - U1241- NUTRITION-MÉTABOLISMES & CANCER;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,02;;-;32P
PLOUZANE;29;29212;IFREMER / CENTRE BRETAGNE - RECHERCHE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,2;;-;35S
ORSAY;91;91471;INSTITUT CURIE RECHERCHE - Centre de recherche d'Orsay;;;DGD - Déchets gérés en décroissance;VTC;DGD;1,02;;-;32P,35S
MARSEILLE;13;13055;CNRS - DELEGATION PROVENCE ET CORSE - CNRS - INSTITUT MEDITERRANEEN DE MICROBIOLOGIE (IMM) FR 3479;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,2;;-;32P,33P,35S
MONTPELLIER;34;34172;CNRS - MONTPELLIER - UMR CNRS 9002 ;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,5;;-;32P,35S
MONTPELLIER;34;34172;INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT (IRD) DE MONTPELLIER - GENETROP - UNITE RPB/DIADE;;;DGD - Déchets gérés en décroissance;VTC;DGD;1;;-;32P
CROISSY-SUR-SEINE;78;78190;INSTITUT DE RECHERCHES SERVIER - CPCB;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,26;;-;35S
MARSEILLE;13;13055;INSTITUT DE RECHERCHE EN CANCEROLOGIE DE MARSEILLE - INSTITUT PAOLI-CALMETTES - INSERM UMR 1068 CRCM;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,28;;-;32P
PARIS 15;75;75115;INSTITUT NATIONAL DE LA TRANSFUSION SANGUINE - INSERM-UP7 UMR S 1134 BIOLOGIE INTEGREE DU GLOBULE ROUGE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,02;;-;32P
PARIS 15;75;75115;INSTITUT PASTEUR DE PARIS - ENSEMBLE DES UNITES DE RECHERCHE DE L'INSTITUT PASTEUR;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,76;;-;32P,33P,125I
LES ABYMES;971;97101;INSTITUT PASTEUR DE GUADELOUPE - LABORATOIRE DES MYCOBACTERIES - RECHERCHE BIOMEDICALE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,001;;-;35S
VILLEBON-SUR-YVETTE;91;91661;ONCODESIGN - BIOLOGIE CELLULAIRE - RADIO-IMMUNO-ANALYSE;;;DGD - Déchets gérés en décroissance;VTC;DGD;3;;-;125I
LES ULIS;91;91692;IPSEN INNOVATION - INSTITUT HENRI BEAUFOUR - Service Compétent en Radioprotection;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,059;;-;125I
ROSCOFF;29;29239;STATION BIOLOGIQUE - UMR8227 - UMR7144 ;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,05;;-;32P,35S
LYON;69;69123;CNRS - DR7 - INSTITUT DE BIOLOGIE ET CHIMIE DES PROTÉINES - UMS 3760;;;DGD - Déchets gérés en décroissance;VTC;DGD;1;;-;32P
CAEN;14;14118;Université de Caen Basse-Normandie - Pôle de Radioprotection - Plateau technique IMOGERE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,98;;-;32P,35S,125I
VANDOEUVRE-LES-NANCY;54;54547;UNIVERSITE DE LORRAINE - UMR 7365 CNRS - INGENIERIE MOLECULAIRE ET PHYSIOPATHOLOGIE ARTICULAIRE (IMOPA);;;DGD - Déchets gérés en décroissance;VTC;DGD;0,5;;-;32P,35S
NANTES;44;44109;UNIVERSITE DE NANTES - EMN - IN2P3 -ARMINES - IN2P3 - CNRS - LABO. DE PHYSIQUE SUBATOMIQUE ET DES TECHNOLOGIES ASSOCIEES (SUBATECH);;;DGD - Déchets gérés en décroissance;VTC;DGD;0,2;;-;95Zr,123I,125I,131I,99mTc
NICE;6;6088;UNIVERSITE COTE D'AZUR - FACULTE DE MEDECINE - IRCAN INSERM U1081, CNRS UMR 7284;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,44;;-;32P
NICE;6;6088;CHU DE NICE - HÔPITAL DE L'ARCHET - INSERM UMR 1065 C3M - BATIMENT ARCHIMED;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,1;;-;32P
VALBONNE;6;6152;CNRS - UNIVERSITE DE NICE SOPHIA-ANTIPOLIS (UNSA) - CNRS - INSTITUT DE PHARMACOLOGIE- UMR 7275 - RECHERCHE BIOLOGIQUE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,6;;-;32P,35S,125I
MONT-SAINT-AIGNAN;76;76451;UNIVERSITE DE ROUEN - INSERM - U1239;;;DGD - Déchets gérés en décroissance;VTC;DGD;1;;-;125I
LA TRONCHE;38;38516;UNIVERSITE GRENOBLES ALPES - FACULTE DE MEDECINE DE GRENOBLE - INSERM U1039 - RADIOPHARMACEUTIQUES BIOCLINIQUES;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,4;;-;18F,68Ga,125I,201Tl,99mTc,177Lu
ILLKIRCH-GRAFFENSTADEN;67;67218;UNIVERSITE DE STRASBOURG - IREBS - UMR 7242;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,18;;-;32P,35S,125I
ILLKIRCH-GRAFFENSTADEN;67;67218;UNIVERSITE DE STRASBOURG - IGBMC - INSERM U1258 - CNRS UMR 7104;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,6;;-;32P
STRASBOURG;67;67482;UNIVERSITE DE STRASBOURG - CNRS - INSTITUT DE BIOLOGIE MOLECULAIRE DES PLANTES (IBMP) - UPR 2357;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,115;;-;32P,35S
STRASBOURG;67;67482;INSTITUT DE BIOLOGIE MOLECULAIRE ET CELLULAIRE (IBMC) - CNRS - UPR 9002 ARCHITECTURE ET REACTIVITE DE L'ARN;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,12;;-;32P,35S
PARIS 06;75;75106;UNIVERSITE PARIS V - RENE DESCARTES - FACULTE DE PHARMACIE - CNRS - UMR 8015 LABORATOIRE DE CRISTALLOGRAPHIE ET RMN BIOLOGIQUES;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,05;;-;32P,35S
PARIS 05;75;75105;SORBONNE UNIVERSITE - CAMPUS DE JUSSIEU - ER3 - UR4 - UMR 7224 - UMR 7195 - UMR 7622;;;DGD - Déchets gérés en décroissance;VTC;DGD;2,23;;-;32P,33P,35S,125I
VILLEFRANCHE-SUR-MER;6;6159;CNRS-SORBONNE UNIVERSITE - IMEV-UMR7009 BIOLOGIE DU DEVELOPPEMENT;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,015;;-;32P,35S
BORDEAUX;33;33063;UNIVERSITE DE BORDEAUX - MICROBIOLOGIE FONDAMENTALE ET PATHOGENICITE - UMR  CNRS 5234;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,12;;-;32P
BOURG-EN-BRESSE;1;1053;INOL IMAGERIE NUCLEAIRE DE L'OUEST LYONNAIS ET DE L'AIN - MEDECINE NUCLEAIRE -BOURG EN BRESSE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,4;;-;18F,131I,99mTc
SOISSONS;2;2722;GIE GAMMA 02 - SCINTIGRAPHIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;5,75;;-;18F,67Ga,99Mo,111In,201Tl,99mTc
SAINT-QUENTIN;2;2691;CENTRE D'EXPLORATIONS ISOTOPIQUES SAINT-CLAUDE - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,1;;-;18F,67Ga,111In,123I,201Tl,99mTc
MONTLUCON;3;3185;CENTRE HOSPITALIER DE MONTLUÇON - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;2,5;;-;99Mo,123I,99mTc
NICE;6;6088;CHU DE NICE - HÔPITAL PASTEUR - BIOCHIMIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,46;;-;125I
SAINT-LAURENT-DU-VAR;6;6123;INSTITUT ARNAULT TZANCK - SCINTIGRAPHIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,1;;-;99Mo,111In,123I,99mTc
RODEZ;12;12202;CENTRE HOSPITALIER JACQUES PUEL - SERVICE MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;7;;-;18F,123I,131I,201Tl,99mTc
AIX-EN-PROVENCE;13;13001;CENTRE HOSPITALIER DU PAYS D'AIX - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;1;;-;18F,123I,99mTc
MARSEILLE;13;13055;APHM - CHU DE LA TIMONE - SERVICE CENTRAL DE BIOPHYSIQUE ET DE MEDECINE NUCLEAIRE - SCINTIGRAPHIE - RADIOTHERAPIE - RADIOANALYSE;;;DGD - Déchets gérés en décroissance;VTC;DGD;61,95;;-;111In,123I,125I,131I,201Tl,99mTc
MARSEILLE;13;13055;APHM - CHU NORD - SERVICE DE MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;2,5;;-;67Ga,111In,201Tl,99mTc
AUBAGNE;13;13005;SCINTI 13 HÔPITAL PRIVE LA CASAMANCE - MEDECINE NUCLEAIRE/ PHARMACOLOGIE /RADIOTHERAPIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;7,5;;-;18F,201Tl,99mTc
CAEN;14;14118;CENTRE FRANÇOIS BACLESSE - CENTRE DE RECHERCHE ET DE LUTTE CONTRE LE CANCER - MEDECINE NUCLEAIRE - TOXEMAC - RADIOTHERAPIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;30;;-;18F,32P,111In,131I,99mTc,177Lu
CAEN;14;14118;CHU DE CAEN - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,3;;-;67Ga,111In,123I,131I,201Tl,99mTc
CAEN;14;14118;POLYCLINIQUE DU PARC - SERVICE DE MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;22;;-;99mTc
SAINT-MICHEL;16;31505;CENTRE HOSPITALIER D'ANGOULÊME - HOPITAL DE GIRAC - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;6;;-;201Tl,99mTc
LA ROCHELLE;17;17300;CENTRE D'IMAGERIE RADIOISOTOPIQUE (CIRI) - MEDECINE NUCLEAIRE LA ROCHELLE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,5;;-;18F,67Ga,111In,123I,131I,99mTc
SAINT-DOULCHARD;18;18205;SCM INOV - SERVICES DE SCINTIGRAPHIE ET MEDECINE NUCLEAIRE - CLINIQUE GUILLAUME DE VARYE;;;DGD - Déchets gérés en décroissance;VTC;DGD;5;;-;18F,123I,99mTc
AJACCIO;2A;2A004;GIP Médecine nucléaire CHD CASTELLUCCIO - Service de scintigraphie;;;DGD - Déchets gérés en décroissance;VTC;DGD;3;;-;99mTc
DIJON;21;21231;CENTRE GEORGES-FRANCOIS LECLERC - CENTRE REGIONAL DE LUTTE CONTRE LE CANCER - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;62,5;;-;111In,123I,131I,201Tl,99mTc,177Lu
DIJON;21;21231;CHU DE DIJON - HÔPITAL DU BOCAGE - SERVICE D'HOSPITALISATION;;;DGD - Déchets gérés en décroissance;VTC;DGD;2;;-;129I,99mTc,90Y,177Lu
SAINT-BRIEUC;22;22278;CENTRE HOSPITALIER DE SAINT-BRIEUC - HÔPITAL YVES LE FOLL - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;10;;-;67Ga,111In,123I,131I,201Tl,99mTc
PERIGUEUX;24;24322;CENTRE DE MEDECINE NUCLEAIRE DE FRANCHEVILLE - POLYCLINIQUE DE FRANCHEVILLE - SCINTIGRAPHIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;1;;-;67Ga,111In,131I,201Tl,99mTc
TREVENANS;90;90097;GIE MEDECINE NUCLEAIRE - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;20;;-;18F,111In,123I,131I,201Tl,99mTc
VALENCE;26;26362;CENTRE HOSPITALIER DE VALENCE - MEDECINE NUCLEAIRE - SCINTIGRAPHIE - RADIOTHERAPIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,38;;-;18F,111In,123I,131I,201Tl,99mTc
EVREUX;27;27229;CLINIQUE BERGOUIGNAN - MEDECINE NUCLEAIRE - SCINTIGRAPHIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,3;;-;201Tl,99mTc
EVREUX;27;27229;GROUPEMENT EUROIS D'IMAGERIE MEDICALE - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,5;;-;201Tl,99mTc
BREST;29;29019;CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE DE BREST - HÔPITAL AUGUSTIN MORVAN - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;40;;-;18F,68Ga,123I,131I,99mTc,177Lu
BREST;29;29019;CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE DE BREST- HÔPITAL DE LA CAVALE BLANCHE - MEDECINE NUCLEAIRE - SCINTIGRAPHIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;30;;-;111In,123I,125I,201Tl,99mTc
QUIMPER;29;29232;CENTRE GEORGES CHARPAK - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;2,5;;-;18F,99Mo,111In,123I,99mTc
NIMES;30;30189;CHU - HÔPITAL CAREMEAU - SERVICE DE MEDECINE NUCLEAIRE ET BIOPHYSIQUE MEDICALE;;;DGD - Déchets gérés en décroissance;VTC;DGD;2;;-;18F,123I,131I,99mTc,90Y,177Lu
NIMES;30;30189;SCINTIGARD - MEDECINE NUCLEAIRE - NIMES;;;DGD - Déchets gérés en décroissance;VTC;DGD;7,7;;-;123I,99mTc
TOULOUSE;31;31555;CHU - HÔPITAL  PURPAN - LABORATOIRE DE BIOCHIMIE  IFB;;;DGD - Déchets gérés en décroissance;VTC;DGD;2;;-;125I
TOULOUSE;31;31555;CHU - HÔPITAL RANGUEIL - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;4;;-;123I,99mTc
CORNEBARRIEU;31;31150;CLINIQUE DES CÈDRES - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;5,2;;-;111In,123I,201Tl,99mTc
TOULOUSE;31;31555;CENTRE D'IMAGERIE MOLECULAIRE ET FONCTIONNELLE (CIMOF) - SERVICE MEDECINE NUCLEAIRE, CLINIQUE PASTEUR (SMNP);;;DGD - Déchets gérés en décroissance;VTC;DGD;10,4;;-;18F,123I,201Tl,99mTc
TALENCE;33;33522;CHU DE BORDEAUX - HÔPITAL HAUT LEVEQUE - MEDECINE NUCLEAIRE - SCINTIGRAPHIE -  RADIOTHERAPIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;30;;-;18F,123I,125I,131I,99mTc,177Lu
TALENCE;33;33522;CHU DE BORDEAUX - HÔPITAL PELLEGRIN - MEDECINE NUCLEAIRE - SCINTIGRAPHIE -  RADIOTHERAPIE - BIOLOGIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;2;;-;67Ga,123I,99mTc,90Y
BORDEAUX;33;33063;POLYCLINIQUE BORDEAUX NORD AQUITAINE - MEDECINE NUCLEAIRE - SCINTIGRAPHIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;18;;-;18F,67Ga,111In,123I,131I,99mTc
BEZIERS;34;34032;CENTRE LIBERAL DE MEDECINE NUCLEAIRE / SCP - SCINTIGRAPHIE/TEP-SCAN;;;DGD - Déchets gérés en décroissance;VTC;DGD;5;;-;18F,111In,123I,131I,201Tl,99mTc
MONTPELLIER;34;34172;CLINIQUE CLEMENTVILLE - CENTRE DE RADIOTHERAPIE - CURIETHERAPIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,027;;-;125I
RENNES;35;35238;CENTRE EUGÈNE MARQUIS - CENTRE REGIONAL DE LUTTE CONTRE LE CANCER - MEDECINE NUCLEAIRE - SCINTIGRAPHIE -  RADIOANALYSE;;;DGD - Déchets gérés en décroissance;VTC;DGD;15;;-;111In,123I,131I,153Sm,99mTc,177Lu
BESANCON;25;25056;GIE MEDECINE NUCLEAIRE SAINT VINCENT - CENTRE DE MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;2;;-;123I,131I,201Tl,99mTc
TOURS;37;37261;CENTRE HOSPITALIER RÉGIONAL UNIVERSITAIRE DE TOURS - HÔPITAL TROUSSEAU - MEDECINE NUCLEAIRE - SCINTIGRAPHIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;1;;-;111In,123I,201Tl,99mTc
TOURS;37;37261;CHU DE TOURS - HÔPITAL BRETONNEAU - SERVICE DE MEDECINE NUCLEAIRE - IMAGERIE - THERAPIE - RECHERCHE BIOMEDICALE;;;DGD - Déchets gérés en décroissance;VTC;DGD;10;;-;18F,68Ga,123I,131I,99mTc,177Lu
CHAMBRAY-LES-TOURS;37;37050;MEDECINE NUCLEAIRE TOURANGELLE -  MEDECINE NUCLEAIRE CHAMBRAY-LES-TOURS;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,3;;-;57Co,18F,99Mo,111In,123I,99mTc
GRENOBLE;38;38185;SCINTEP - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;1;;-;18F,123I,201Tl,99mTc
BLOIS;41;41018;CENTRE D'IMAGERIE SCINTIGRAPHIQUE BLESOIS ET REGIONAL (CIBER) - CENTRE HOSPITALIER DE BLOIS - SCINTIGRAPHIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;2;;-;99mTc
SAINT-ETIENNE;42;42218;CHU DE ST ETIENNE - HÔPITAL NORD - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;3;;-;18F,68Ga,111In,131I,99mTc,90Y
ROANNE;42;42187;CLINIQUE DU RENAISON - CENTRE D'IMAGERIE NUCLEAIRE (CIN) - SCINTIGRAPHIE ;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,7;;-;18F,67Ga,123I,131I,201Tl,99mTc
MOUGINS;6;6085;CENTRE D'IMAGERIE NUCLEAIRE (SELARL CIN) - CLINIQUE PLEIN CIEL - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,15;;-;18F,111In,123I,131I,99mTc
NANTES;44;44109;CHU - HÔPITAL GUILLAUME ET RENE LAENNEC - MEDECINE NUCLEAIRE - SCINTIGRAPHIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;7;;-;123I,201Tl,99mTc
NANTES;44;44109;CHU DE NANTES - HOTEL DIEU - MEDECINE NUCLEAIRE - SCINTIGRAPHIE -  RADIOTHERAPIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;35;;-;111In,123I,125I,131I,99mTc,177Lu
ORLEANS;45;45234;CENTRE HOSPITALIER REGIONAL D'ORLEANS - MEDECINE NUCLEAIRE LA SOURCE;;;DGD - Déchets gérés en décroissance;VTC;DGD;3;;-;18F,111In,123I,131I,201Tl,99mTc
AGEN;47;47001;CENTRE HOSPITALIER D'AGEN SAINT-ESPRIT - MEDECINE NUCLEAIRE - SCINTIGRAPHIE - BIOPHYSIQUE;;;DGD - Déchets gérés en décroissance;VTC;DGD;15,779;;-;67Ga,111In,123I,131I,201Tl,99mTc
ANGERS;49;49007;CHU D'ANGERS - HOPITAL LARREY - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;10;;-;68Ge,18F,111In,123I,131I,99mTc
REIMS;51;51454;ICCREIMS POLYCLINIQUE DE COURLANCY - CURIETHERAPIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,002;;-;192Ir,125I
CHAUMONT;52;61103;CENTRE HOSPITALIER DE CHAUMONT - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;3;;-;111In,123I,131I,153Sm,201Tl,99mTc
MAXEVILLE;54;54357;CENTRE D'IMAGERIE ISOTOPIQUE LORRAIN - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;30;;-;57Co,68Ge,18F,99Mo,201Tl,99mTc
VANDOEUVRE-LES-NANCY;54;54547;CHRU NANCY - MEDECINE NUCLEAIRE - SCINTIGRAPHIE - RADIOTHERAPIE - BIOLOGIE HBA;;;DGD - Déchets gérés en décroissance;VTC;DGD;30;;-;18F,68Ga,125I,131I,99mTc,177Lu
VANNES;56;56260;CENTRE DE MEDECINE NUCLEAIRE DU MORBIHAN - CENTRE HOSPITALIER BRETAGNE ATLANTIQUE - SCINTIGRAPHIE - TOMOGRAPHIE D'EMISSION DE POSITRONS;;;DGD - Déchets gérés en décroissance;VTC;DGD;8;;-;18F,123I,99mTc
METZ;57;57463;CENTRE HOSPITALIER REGIONAL DE METZ-THIONVILLE - HOPITAL DE MERCY - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;1,1;;-;18F,111In,123I,131I,201Tl,99mTc
VILLENEUVE-D'ASCQ;59;59009;CLINIQUE RADIOLOGIQUE DU PARC HPVA IMANORD - SERVICE DE MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,5;;-;67Ga,111In,123I,131I,201Tl,99mTc
LILLE;59;59350;CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE DE LILLE - HÔPITAL CLAUDE HURIEZ - SERVICE DE MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;8;;-;18F,111In,123I,131I,99mTc,90Y
